Ward,City,State,Latitude,Longitude,Last_Date,Critical_Count,High_Count,Medium_Count,Low_Count,Total,Avg_Complaints,Max_Complaints,Top_Issue,Top_Season,Top_Cluster,Hotspot_Level,Priority_Score,Real_Incident
Ward_25,Hyderabad,Telangana,17.385,78.5017,2018-06-03,2,1,0,0,3,491.0,573,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,11,"Ganesh Nimajjanam - 1.5L+ idols, Hussain Sagar lake pollution, crowd surge"
Ward_1,Hyderabad,Telangana,17.34,78.4117,2024-07-14,1,1,2,2,6,291.17,573,Crowd Management,Monsoon,Public Event & Gathering,CRITICAL,11,Hyderabad Comic Con & political rallies - HITEC City area civic overload
Ward_44,Shimla,Himachal Pradesh,31.1048,77.1734,2022-10-13,1,1,2,0,4,319.75,578,Traffic,Winter,Weekend Market Congestion,CRITICAL,11,"Shimla Lower Bazaar & Mall Road weekend - 50K+ tourists, pedestrian congestion"
Ward_21,Chennai,Tamil Nadu,13.1277,80.2257,2024-07-22,2,1,0,0,3,495.33,582,Crowd Management,Winter,Public Event & Gathering,CRITICAL,11,"Pongal celebrations & political rallies - Marina Beach 10L+ crowd, civic breakdown"
Ward_19,Mumbai,Maharashtra,19.076,72.9527,2020-06-12,1,1,2,0,4,307.5,491,Traffic,Winter,Public Event & Gathering,CRITICAL,11,"IPL at Wankhede & stadium events - 50K+ crowd, traffic gridlock"
Ward_32,Kolkata,West Bengal,22.5876,88.3339,2022-10-24,2,0,1,0,3,388.33,497,Traffic,Summer,Weekend Market Congestion,CRITICAL,10,"New Market & Gariahat weekend shopping - 3L+ daily, Kolkata traffic collapse"
Ward_34,Bengaluru,Karnataka,13.0166,77.5946,2024-02-10,2,0,1,1,4,354.0,555,Water Supply,Summer,Summer Water Service,CRITICAL,10,"Bengaluru water crisis 2024 - Cauvery Stage 5 delay, borewells dry, Rs 1000/tanker"
Ward_44,Thiruvananthapuram,Kerala,8.5241,76.9366,2021-06-24,1,2,0,0,3,407.0,474,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,10,"Attukal Pongala - world's largest women's gathering, 4M+ devotees, massive waste"
Ward_20,Ahmedabad,Gujarat,23.0525,72.5114,2022-12-17,1,0,3,0,4,286.25,491,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,10,"Navratri Garba - world's largest garba celebration, 10L+ crowd, waste overflow"
Ward_39,Prayagraj,Uttar Pradesh,25.4508,81.9213,2024-01-26,1,2,0,0,3,429.67,466,Crowd Management,Winter,Tourist Season Sanitation,CRITICAL,10,"Triveni Sangam tourist season - 5L+ daily pilgrims, ghat sanitation crisis"
Ward_22,Pune,Maharashtra,18.4754,73.8267,2021-08-07,1,2,0,1,4,329.25,475,Traffic,Monsoon,Weekend Market Congestion,CRITICAL,10,"Tulsi Baug & FC Road weekend market - 2L+ shoppers, Pune traffic gridlock"
Ward_39,Mumbai,Maharashtra,19.091,72.9527,2024-05-20,1,2,0,0,3,395.33,504,Water Supply,Summer,Summer Water Service,CRITICAL,10,Mumbai 10-15% water cut (May-Jun 2024) - Modak Sagar reservoir critically low
Ward_48,Kochi,Kerala,9.8862,76.3273,2025-01-11,2,0,1,0,3,432.33,588,Sanitation,Winter,Tourist Season Sanitation,CRITICAL,10,"Fort Kochi & Cherai Beach tourist season - Dec-Jan, 5L+ tourists, sand pollution"
Ward_2,Prayagraj,Uttar Pradesh,25.4508,81.7713,2020-05-10,2,0,1,1,4,310.0,534,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,10,"Maha Kumbh Mela 2025 - world's largest gathering, 45Cr+ pilgrims, waste crisis"
Ward_20,Shimla,Himachal Pradesh,31.1348,77.1134,2022-06-07,2,0,1,0,3,375.0,484,Water Supply,Summer,Summer Water Service,CRITICAL,10,"Shimla water crisis - tourist season demand, Ashwini Khad source critically low"
Ward_47,Indore,Madhya Pradesh,22.7646,75.9027,2021-06-17,2,0,1,0,3,448.67,596,Crowd Management,Summer,Festival Crowd & Waste,CRITICAL,10,"Navratri & Anant Chaturdashi - 3L+ crowd, Rajwada area severe waste accumulation"
Ward_46,Shimla,Himachal Pradesh,31.1348,77.2034,2024-07-07,2,0,1,1,4,341.75,545,Crowd Management,Summer,Festival Crowd & Waste,CRITICAL,10,"Shimla Summer Festival - 1L+ tourists, Mall Road waste & crowd management failure"
Ward_17,Bengaluru,Karnataka,12.9416,77.6396,2024-10-12,2,0,1,0,3,417.33,561,Sanitation,Monsoon,Tourist Season Sanitation,CRITICAL,10,"Nandi Hills & Lalbagh tourist season - 1L+ weekend visitors, waste management failure"
Ward_47,Jaipur,Rajasthan,26.9574,75.8323,2022-05-26,2,0,1,0,3,450.0,596,Sanitation,Winter,Tourist Season Sanitation,CRITICAL,10,"Amber Fort & Hawa Mahal tourist season - Oct-Mar, 15K+ daily, waste & sanitation"
Ward_17,Pathanamthitta,Kerala,9.2348,76.832,2024-11-24,1,2,0,0,3,393.0,487,Solid Waste,Monsoon,Festival Crowd & Waste,CRITICAL,10,"Sabarimala pilgrimage season - 50L pilgrims, severe waste & sanitation failure"
Ward_17,Ahmedabad,Gujarat,22.9925,72.6164,2021-06-23,1,2,0,0,3,389.0,548,Traffic,Winter,Weekend Market Congestion,CRITICAL,10,"Manek Chowk night market & Law Garden weekend - 1L+ visitors, waste & congestion"
Ward_34,Pune,Maharashtra,18.5654,73.8567,2024-11-26,1,1,1,1,4,310.0,496,Crowd Management,Monsoon,Festival Crowd & Waste,HIGH,9,"Pune Ganesh Festival - 2000+ mandals, 5L+ crowd daily, severe waste crisis"
Ward_8,Thiruvananthapuram,Kerala,8.5691,76.9216,2024-11-27,1,1,1,0,3,309.33,427,Traffic,Winter,Weekend Market Congestion,HIGH,9,"Chalai Bazaar & East Fort weekend market - 1L+ shoppers, traffic & waste crisis"
Ward_24,Hyderabad,Telangana,17.37,78.4867,2023-12-04,1,1,1,0,3,351.0,445,Traffic,Winter,Weekend Market Congestion,HIGH,9,"Laad Bazaar & Begum Bazaar weekend - 2L+ shoppers, Old City traffic collapse"
Ward_25,Thiruvananthapuram,Kerala,8.5241,76.9516,2024-01-11,0,1,3,0,4,267.75,422,Traffic,Summer,Public Event & Gathering,HIGH,9,"Kerala State Film Awards & Onam celebrations - 2L+ crowd, traffic collapse"
Ward_23,Shimla,Himachal Pradesh,31.0748,77.1584,2023-11-28,1,1,1,0,3,332.33,446,Sanitation,Summer,Tourist Season Sanitation,HIGH,9,"Shimla & Manali peak season - May-Jun, 5L+ tourists, Mall Road waste crisis"
Ward_38,Panaji,Goa,15.4909,73.8878,2022-01-21,0,2,1,1,4,247.25,322,Traffic,Summer,Weekend Market Congestion,HIGH,8,"Mapusa Friday market & Anjuna flea market - 50K+ visitors, weekend traffic gridlock"
Ward_28,Delhi,Delhi,28.6589,77.269,2022-01-08,1,0,2,0,3,321.33,565,Traffic,Winter,Weekend Market Congestion,HIGH,8,"Chandni Chowk & Sarojini Nagar weekend - 5L+ shoppers, traffic & waste gridlock"
Ward_25,Ahmedabad,Gujarat,23.0225,72.5864,2024-02-09,1,0,2,0,3,318.33,535,Crowd Management,Winter,Tourist Season Sanitation,HIGH,8,Sabarmati Ashram & Rann of Kutch winter season - 10L+ tourists
Ward_41,Kochi,Kerala,9.8862,76.2223,2020-02-21,2,0,0,0,2,527.0,569,Water Supply,Summer,Summer Water Service,HIGH,8,"KWA water scarcity - Kalamassery & Kakkanad 12hr cuts, April-June 2024"
Ward_27,Delhi,Delhi,28.6439,77.254,2020-01-26,2,0,0,0,2,548.0,583,Crowd Management,Winter,Public Event & Gathering,HIGH,8,"Republic Day Parade & political rallies - 1L+ crowd, civic pressure"
Ward_26,Prayagraj,Uttar Pradesh,25.4508,81.8763,2023-09-18,2,0,0,0,2,525.0,569,Crowd Management,Winter,Public Event & Gathering,HIGH,8,"Ardh Kumbh & Maagh Mela - 10Cr+ pilgrims, Sangam area civic crisis"
Ward_23,Prayagraj,Uttar Pradesh,25.4058,81.8313,2024-07-07,2,0,0,0,2,459.0,486,Water Supply,Summer,Summer Water Service,HIGH,8,"Yamuna-Ganga low level - summer 2024, 10L population water shortage"
Ward_8,Kochi,Kerala,9.9762,76.2523,2024-01-17,2,0,0,2,4,267.75,528,Crowd Management,Winter,Festival Crowd & Waste,HIGH,8,"Kochi Carnival & Cochin Cultural Fest - beachfront waste surge, 3L+ crowd"
Ward_15,Jaipur,Rajasthan,26.9574,75.8023,2024-08-09,1,0,2,0,3,271.33,520,Traffic,Winter,Weekend Market Congestion,HIGH,8,"Johari Bazaar & Bapu Market weekend - 2L+ shoppers, Pink City traffic gridlock"
Ward_45,Jaipur,Rajasthan,26.9274,75.8023,2018-07-20,1,1,0,0,2,455.5,567,Water Supply,Summer,Summer Water Service,HIGH,7,"Jaipur Bisalpur dam shortage - 20% water cut, summer 2024, city rationing"
Ward_20,Panaji,Goa,15.5209,73.7678,2024-03-30,1,1,0,1,3,309.67,473,Sanitation,Winter,Tourist Season Sanitation,HIGH,7,"Goa peak tourist season - Dec-Jan, 8L+ tourists, beach & road sanitation failure"
Ward_20,Kolkata,West Bengal,22.6026,88.3039,2023-10-03,1,1,0,0,2,493.5,599,Crowd Management,Winter,Public Event & Gathering,HIGH,7,"Brigade Parade Ground political rallies - 5L+ crowd, waste & sanitation failure"
Ward_49,Pathanamthitta,Kerala,9.2348,76.862,2023-09-14,1,1,0,0,2,415.5,488,Sanitation,Winter,Tourist Season Sanitation,HIGH,7,"Sabarimala season sanitation - Nov-Jan, 50L pilgrims, forest waste dumping"
Ward_21,Mumbai,Maharashtra,19.121,72.8327,2023-01-23,1,1,0,0,2,389.0,450,Traffic,Winter,Weekend Market Congestion,HIGH,7,"Dadar & Crawford Market weekend - 3L+ shoppers, traffic & hawker congestion"
Ward_27,Panaji,Goa,15.5209,73.8728,2023-05-12,1,1,0,1,3,297.0,445,Water Supply,Summer,Summer Water Service,HIGH,7,"Goa water scarcity 2024 - Opa treatment plant low, tourist season pressure"
Ward_4,Kolkata,West Bengal,22.6026,88.2889,2022-12-24,0,1,2,0,3,309.33,403,Water Supply,Summer,Summer Water Service,HIGH,7,"Kolkata heatwave 2024 - 45C, water supply pressure drop, KMC emergency"
Ward_14,Thiruvananthapuram,Kerala,8.5541,76.9366,2018-09-07,1,1,0,1,3,328.67,553,Water Supply,Summer,Summer Water Service,HIGH,7,"Aruvikkara dam low - 6hr supply cuts, Thiruvananthapuram crisis 2024"
Ward_35,Pune,Maharashtra,18.4754,73.8717,2019-07-13,1,1,0,0,2,485.0,577,Crowd Management,Winter,Tourist Season Sanitation,HIGH,7,"Sinhagad Fort & Lonavala tourist season - monsoon & winter, 5L+ visitors"
Ward_5,Chennai,Tamil Nadu,13.0677,80.1957,2024-05-31,1,1,0,0,2,424.5,425,Sanitation,Winter,Tourist Season Sanitation,HIGH,7,"Marina Beach & Mahabalipuram tourist season - Pongal, 10L+ visitors, waste crisis"
Ward_36,Delhi,Delhi,28.5839,77.239,2020-03-23,1,0,1,1,3,252.67,544,Water Supply,Summer,Summer Water Service,HIGH,6,"Delhi water crisis 2024 - Yamuna drop, tanker mafia, 50L residents affected"
Ward_39,Bengaluru,Karnataka,12.9866,77.6696,2024-11-25,0,2,0,1,3,255.67,346,Traffic,Monsoon,Weekend Market Congestion,HIGH,6,"Chickpete & Commercial Street weekend - 3L+ shoppers, traffic collapse"
Ward_3,Delhi,Delhi,28.5839,77.134,2023-08-31,0,2,0,0,2,313.5,319,Sanitation,Winter,Tourist Season Sanitation,HIGH,6,"India Gate & Red Fort tourist season - Oct-Mar, 1L+ daily, monument waste crisis"
Ward_31,Pathanamthitta,Kerala,9.2648,76.742,2020-09-28,1,0,1,2,4,202.5,475,Water Supply,Summer,Summer Water Service,HIGH,6,"Pamba river low level - tribal area water shortage, summer drought"
Ward_8,Pathanamthitta,Kerala,9.3098,76.772,2021-06-04,0,2,0,1,3,221.67,351,Traffic,Monsoon,Weekend Market Congestion,HIGH,6,"Thiruvalla & Adoor weekly market - 50K+ shoppers, vehicle & waste congestion"
Ward_10,Mumbai,Maharashtra,19.046,72.8177,2022-03-04,0,1,1,0,2,300.5,341,Sanitation,Winter,Tourist Season Sanitation,MEDIUM,5,"Juhu & Marine Drive tourist surge - Dec-Jan, 5L+ visitors, beach waste failure"
Ward_49,Kochi,Kerala,9.9012,76.3423,2024-09-30,1,0,0,3,4,180.5,416,Traffic,Winter,Weekend Market Congestion,MEDIUM,4,"Broadway & Ernakulam market weekend - 2L+ shoppers, severe traffic & waste gridlock"
Ward_10,Indore,Madhya Pradesh,22.6896,75.7977,2023-01-23,0,1,0,0,1,382.0,382,Sanitation,Winter,Tourist Season Sanitation,MEDIUM,3,"Maheshwar & Omkareshwar tourist season - 2L+ winter pilgrims, Narmada bank waste"
Ward_41,Thrissur,Kerala,10.4887,76.2386,2018-09-30,2,0,2,0,4,430.38,569,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,16,"Thrissur Pooram - world's most spectacular temple festival, 10L+ crowd, massive fireworks waste & road blockage"
Ward_6,Thrissur,Kerala,10.5366,76.1676,2017-01-18,0,1,2,0,3,387.66,526,Crowd Management,Winter,Public Event & Gathering,HIGH,7,"Kerala Sangeetha Nataka Akademi events & Puram rehearsals - weekly crowd surge, civic overload"
Ward_27,Thrissur,Kerala,10.4996,76.2233,2016-01-27,0,0,3,1,4,305.89,344,Water Supply,Summer,Summer Water Service,MEDIUM,5,"Thrissur district water crisis (Apr-Jun) - Peechi dam low, 12hr supply cuts, 5L residents affected"
Ward_14,Thrissur,Kerala,10.5733,76.1981,2017-01-14,0,1,1,1,3,493.57,570,Sanitation,Winter,Tourist Season Sanitation,MEDIUM,4,"Athirapally & Vazhachal waterfalls season - 2L+ visitors, forest waste & plastic dumping"
Ward_17,Thrissur,Kerala,10.5583,76.2374,2022-01-05,0,0,2,0,2,384.26,476,Traffic,Winter,Weekend Market Congestion,MEDIUM,3,"Thrissur Swaraj Round & Round area weekend market - 2L+ shoppers, traffic gridlock"
Ward_37,Kozhikode,Kerala,11.228,75.7374,2023-06-01,0,2,0,0,2,500.6,548,Crowd Management,Monsoon,Festival Crowd & Waste,HIGH,7,"Malabar Mahotsavam - multi-day cultural festival at Mananchira grounds, city-wide crowd surge, beach & street waste management failure"
Ward_18,Kozhikode,Kerala,11.2541,75.8138,2017-10-28,0,1,2,0,3,427.96,445,Crowd Management,Monsoon,Public Event & Gathering,MEDIUM,5,"Kozhikode Beach Festival - 50K+ daily crowd, Marine Drive crowd & waste management failure"
Ward_39,Kozhikode,Kerala,11.2723,75.7838,2018-09-29,0,0,2,1,3,279.88,421,Water Supply,Summer,Summer Water Service,MEDIUM,4,"Kozhikode KWA crisis - Kallai river low, Beypore area 18hr supply cuts, May 2024"
Ward_15,Kozhikode,Kerala,11.2773,75.8147,2024-09-13,0,0,1,0,1,477.87,528,Sanitation,Summer,Tourist Season Sanitation,MEDIUM,3,"Kozhikode beach tourist season - 3L+ weekend visitors, plastic & food waste surge"
Ward_5,Kozhikode,Kerala,11.2299,75.8247,2024-01-19,1,1,2,1,5,326.38,443,Traffic,Winter,Weekend Market Congestion,HIGH,8,"SM Street (Sweet Meat Street) weekend - 3L+ shoppers, India's most crowded food street gridlock"
Ward_10,Kannur,Kerala,11.851,75.3451,2022-04-18,4,1,2,1,8,512.19,563,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,14,"Theyyam festival season (Nov-Jun) - 456 varieties, 2000+ locations, north Kerala forest area waste & crowd issues"
Ward_24,Kannur,Kerala,11.8464,75.4202,2021-09-18,0,1,1,0,2,498.61,517,Crowd Management,Winter,Public Event & Gathering,MEDIUM,4,"Communist party political mega-rallies (Kannur stronghold) - large-scale crowd, city-wide civic overload & sanitation failure"
Ward_41,Kannur,Kerala,11.8405,75.3884,2022-09-08,0,0,2,1,3,400.48,519,Water Supply,Summer,Summer Water Service,MEDIUM,3,"Kannur water shortage - Peringome WTP failure, 2L residents affected, summer 2024"
Ward_34,Kannur,Kerala,11.8496,75.3757,2016-02-17,2,3,0,1,6,464.38,551,Sanitation,Winter,Tourist Season Sanitation,HIGH,9,"Kannur beach & ""fort"" tourist season - 1L+ visitors, Muzhappilangad drive-in beach waste crisis"
Ward_8,Kannur,Kerala,11.8539,75.3362,2016-01-14,2,3,1,0,6,367.84,394,Traffic,Summer,Weekend Market Congestion,HIGH,6,"Kannur Caltex Junction & Town Hall market weekend - 50K+ shoppers, narrow road congestion"
Ward_41,Malappuram,Kerala,11.0308,76.085,2022-10-30,0,0,1,1,2,462.13,597,Crowd Management,Monsoon,Festival Crowd & Waste,MEDIUM,4,"Nercha festival at Kondotty mosque - 5L+ pilgrims, waste & traffic collapse in town"
Ward_1,Malappuram,Kerala,11.0609,76.07,2017-04-03,0,1,2,0,3,201.43,346,Crowd Management,Monsoon,Public Event & Gathering,MEDIUM,3,"Kerala Muslim League centenary & political events - 5L+ crowd, Malappuram city-wide sanitation failure"
Ward_6,Malappuram,Kerala,11.0096,76.0697,2016-10-10,2,1,0,0,3,421.33,567,Water Supply,Summer,Summer Water Service,CRITICAL,11,"Malappuram district drought - Tirur & Tanur water shortage, tanker dependency crisis 2024"
Ward_17,Malappuram,Kerala,11.0538,76.0818,2018-05-17,2,3,2,0,7,443.79,545,Sanitation,Winter,Tourist Season Sanitation,HIGH,7,"Pookode lake & Kalpetta tourist season - 1L+ visitors, water body plastic pollution"
Ward_43,Malappuram,Kerala,11.066,76.0649,2021-10-20,0,1,1,0,2,263.14,349,Traffic,Winter,Weekend Market Congestion,MEDIUM,5,"Malappuram Manjeri & Perinthalmanna weekly markets - 1L+ buyers, traffic failure"
Ward_2,Alappuzha,Kerala,9.5069,76.3118,2018-06-21,0,0,1,2,3,413.51,471,Crowd Management,Winter,Festival Crowd & Waste,MEDIUM,3,"Nehru Trophy Boat Race - 2L+ spectators, Punnamada backwater waste & crowd management failure"
Ward_5,Alappuzha,Kerala,9.5386,76.3748,2016-10-17,4,0,1,1,6,259.27,292,Crowd Management,Winter,Public Event & Gathering,CRITICAL,13,"Alappuzha Beach Carnival & political mega rallies - 3L+ crowd, coastal civic failure"
Ward_47,Alappuzha,Kerala,9.5417,76.3459,2021-04-20,0,2,1,0,3,214.9,324,Water Supply,Summer,Summer Water Service,HIGH,7,"Alappuzha coastal saline intrusion - groundwater contamination, alternate day supply summer 2024"
Ward_23,Alappuzha,Kerala,9.4905,76.3355,2024-03-05,0,0,3,2,5,544.14,550,Sanitation,Monsoon,Tourist Season Sanitation,MEDIUM,5,"Alappuzha backwater houseboat waste - 500+ houseboats, Vembanad lake plastic pollution"
Ward_4,Alappuzha,Kerala,9.4884,76.3227,2017-03-23,0,0,1,0,1,378.43,413,Traffic,Monsoon,Weekend Market Congestion,MEDIUM,4,"Alappuzha Mullakkal temple & market area weekend - 1L+ shoppers, town-wide gridlock"
Ward_28,Kollam,Kerala,8.8615,76.6104,2016-11-04,1,3,0,0,4,421.29,559,Solid Waste,Winter,Festival Crowd & Waste,HIGH,9,"Kottarakkara Sree Mahaganapathy temple festival - 1L+ devotees, town waste surge"
Ward_54,Kollam,Kerala,8.8447,76.5734,2024-06-13,0,1,1,1,3,358.1,460,Crowd Management,Winter,Public Event & Gathering,HIGH,7,"Kollam Pooram & CITU trade union mega-rallies - 2L+ crowd, city traffic gridlock"
Ward_4,Kollam,Kerala,8.8597,76.5643,2020-05-18,0,1,2,1,4,336.51,478,Water Supply,Summer,Summer Water Service,MEDIUM,5,"Kollam summer crisis - Sasthamkotta lake low, alternate day supply, 3L residents affected 2024"
Ward_43,Kollam,Kerala,8.915,76.5796,2019-04-30,0,0,1,2,3,452.22,467,Sanitation,Winter,Tourist Season Sanitation,MEDIUM,4,"Ashtamudi Lake & Kollam beach tourist season - 1L+ tourists, houseboat & beach waste"
Ward_48,Kollam,Kerala,8.8746,76.5691,2021-05-06,0,0,1,2,3,209.64,256,Traffic,Winter,Weekend Market Congestion,MEDIUM,3,"Kollam Chinnakada market & bus stand area weekend - 1L+ shoppers, severe congestion"
Ward_5,Palakkad,Kerala,10.7962,76.6723,2018-08-21,1,1,2,0,4,394.2,404,Crowd Management,Monsoon,Festival Crowd & Waste,HIGH,7,"Nenmara-Vallanghy Vela - twin-village fireworks festival, 1L+ crowd, waste & road blockage"
Ward_40,Palakkad,Kerala,10.7449,76.6705,2022-05-04,0,1,2,0,3,427.8,507,Crowd Management,Monsoon,Public Event & Gathering,MEDIUM,5,"Palakkad Fort cultural events & political rallies - 1L+ crowd, heritage zone civic pressure"
Ward_16,Palakkad,Kerala,10.7633,76.6179,2023-03-28,0,1,2,1,4,523.74,532,Water Supply,Summer,Summer Water Service,MEDIUM,4,"Palakkad summer water scarcity - Malampuzha reservoir critically low, 8hr supply cuts 2024"
